Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.7180041291314771601654610565,0.718004129131477,0.709280506914244,0.718004129131477,0.709280506914244,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,429001.7
0.02,0,0.6300130945600992243153243523,0.630013094560099,0.621289472342866,0.630013094560099,0.621289472342866,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,858003.4
0.03,0,0.5863346452881863336862448706,0.586334645288186,0.577611023070954,0.586334645288186,0.577611023070954,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,1287005
0.04,0,0.5582871541826867584533769504,0.558287154182687,0.549563531965454,0.558287154182687,0.549563531965454,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,1716007
0.05,0,0.5380421545015767475256000158,0.538042154501577,0.529318532284344,0.538042154501577,0.529318532284344,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,2145009
0.06,0,0.5224054182075500166617164730,0.52240541820755,0.513681795990317,0.52240541820755,0.513681795990317,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,2574010
0.07,0,0.5097805870522490610839444018,0.509780587052249,0.501056964835016,0.509780587052249,0.501056964835016,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,3003012
0.08,0,0.4992633429118747122219472295,0.499263342911875,0.490539720694642,0.499263342911875,0.490539720694642,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,3432014
0.09,0,0.4902951993223303557065222807,0.49029519932233,0.481571577105098,0.49029519932233,0.481571577105098,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,3861016
0.10,0,0.4825088171553853206382432427,0.482508817155385,0.473785194938152,0.482508817155385,0.473785194938152,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,4290018
0.11,0,0.4756505828818635914174211712,0.475650582881864,0.466926960664631,0.475650582881864,0.466926960664631,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,4719019
0.12,0,0.4695386445161247880229218806,0.469538644516125,0.460815022298892,0.469538644516125,0.460815022298892,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,5148020
0.13,0,0.4640384531360496101399577581,0.46403845313605,0.455314830918817,0.46403845313605,0.455314830918817,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,5577022
0.14,0,0.4590478731526893551897659262,0.459047873152689,0.450324250935456,0.459047873152689,0.450324250935456,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,6006024
0.15,0,0.4544877421604009450375039646,0.454487742160401,0.445764119943168,0.454487742160401,0.445764119943168,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,6435026
0.16,0,0.4502954151412508960826448397,0.450295415141251,0.441571792924018,0.450295415141251,0.441571792924018,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,6864028
0.17,0,0.4464207109465686920876779593,0.446420710946569,0.437697088729336,0.446420710946569,0.437697088729336,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,7293030
0.18,0,0.4428227056414467836123475429,0.442822705641447,0.434099083424214,0.442822705641447,0.434099083424214,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,7722032
0.19,0,0.4394676877384124218754067953,0.439467687738412,0.43074406552118,0.439467687738412,0.43074406552118,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,8151032
0.20,0,0.4363276022138697449676194793,0.43632760221387,0.427603979996637,0.43632760221387,0.427603979996637,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,8580035
0.21,0,0.4333787930549674026803897605,0.433378793054967,0.424655170837735,0.433378793054967,0.424655170837735,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,9009036
0.22,0,0.4306012659797913484147588181,0.430601265979791,0.421877643762559,0.430601265979791,0.421877643762559,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,9438038
0.23,0,0.4279778015131767722665579128,0.427977801513177,0.419254179295944,0.427977801513177,0.419254179295944,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,9867040
0.24,0,0.4254936913475437284970946275,0.425493691347544,0.416770069130311,0.425493691347544,0.416770069130311,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,10296040
0.25,0,0.4231361059605690931317877955,0.423136105960569,0.414412483743336,0.423136105960569,0.414412483743336,0,0,0,0,12.071627584970540417747828418,50.912054305615098927488700532,49.110951738614140928038708177,10725040
